month day hour Development
1 1 0.042 0
1 1 0.125 0
1 1 0.208 0
1 1 0.292 0
1 1 0.375 0
1 1 0.458 0
1 1 0.542 0
1 1 0.625 0
1 1 0.708 0
1 1 0.792 0
1 1 0.875 0
1 1 0.958 0
1 1 1.042 0
1 1 1.125 0
1 1 1.208 0
1 1 1.292 0
1 1 1.375 0
1 1 1.458 0
1 1 1.542 0
1 1 1.625 0
1 1 1.708 0
1 1 1.792 0
1 1 1.875 0
1 1 1.958 0
1 1 2.042 0
1 1 2.125 0
1 1 2.208 0
1 1 2.292 0
1 1 2.375 0
1 1 2.458 0
1 1 2.542 0
1 1 2.625 0
1 1 2.708 0
1 1 2.792 0
1 1 2.875 0
1 1 2.958 0
1 1 3.042 0
1 1 3.125 0
1 1 3.208 0
1 1 3.292 0
1 1 3.375 0
1 1 3.458 0
1 1 3.542 0
1 1 3.625 0
1 1 3.708 0
1 1 3.792 0
1 1 3.875 0
1 1 3.958 0
1 1 4.042 0
1 1 4.125 0
1 1 4.208 0
1 1 4.292 0
1 1 4.375 0
1 1 4.458 0
1 1 4.542 0
1 1 4.625 0
1 1 4.708 0
1 1 4.792 0
1 1 4.875 0
1 1 4.958 0
1 1 5.042 0
1 1 5.125 0
1 1 5.208 0
1 1 5.292 0
1 1 5.375 0
1 1 5.458 0
1 1 5.542 0
1 1 5.625 0
1 1 5.708 0
1 1 5.792 0
1 1 5.875 0
1 1 5.958 0
1 1 6.042 0
1 1 6.125 0
1 1 6.208 0
1 1 6.292 0
1 1 6.375 0
1 1 6.458 0
1 1 6.542 0
1 1 6.625 0
1 1 6.708 0
1 1 6.792 0
1 1 6.875 0
1 1 6.958 0
1 1 7.042 0
1 1 7.125 0
1 1 7.208 0
1 1 7.292 0
1 1 7.375 0
1 1 7.458 0
1 1 7.542 0
1 1 7.625 0
1 1 7.708 0
1 1 7.792 0
1 1 7.875 0
1 1 7.958 0
1 1 8.042 0
1 1 8.125 0
1 1 8.208 0
1 1 8.292 0
1 1 8.375 0
1 1 8.458 0
1 1 8.542 0
1 1 8.625 0
1 1 8.708 0
1 1 8.792 1
1 1 8.875 1
1 1 8.958 1
1 1 9.042 1
1 1 9.125 1
1 1 9.208 1
1 1 9.292 1
1 1 9.375 1
1 1 9.458 1
1 1 9.542 1
1 1 9.625 1
1 1 9.708 1
1 1 9.792 0
1 1 9.875 0
1 1 9.958 0
1 1 10.042 0
1 1 10.125 0
1 1 10.208 1
1 1 10.292 1
1 1 10.375 1
1 1 10.458 0
1 1 10.542 0
1 1 10.625 0
1 1 10.708 1
1 1 10.792 1
1 1 10.875 1
1 1 10.958 1
1 1 11.042 1
1 1 11.125 1
1 1 11.208 1
1 1 11.292 1
1 1 11.375 0
1 1 11.458 1
1 1 11.542 1
1 1 11.625 1
1 1 11.708 1
1 1 11.792 1
1 1 11.875 1
1 1 11.958 1
1 1 12.042 0
1 1 12.125 0
1 1 12.208 0
1 1 12.292 0
1 1 12.375 0
1 1 12.458 0
1 1 12.542 1
1 1 12.625 1
1 1 12.708 1
1 1 12.792 1
1 1 12.875 1
1 1 12.958 1
1 1 13.042 1
1 1 13.125 1
1 1 13.208 1
1 1 13.292 1
1 1 13.375 1
1 1 13.458 1
1 1 13.542 1
1 1 13.625 1
1 1 13.708 1
1 1 13.792 1
1 1 13.875 0
1 1 13.958 0
1 1 14.042 0
1 1 14.125 1
1 1 14.208 0
1 1 14.292 0
1 1 14.375 1
1 1 14.458 1
1 1 14.542 1
1 1 14.625 1
1 1 14.708 1
1 1 14.792 1
1 1 14.875 1
1 1 14.958 1
1 1 15.042 1
1 1 15.125 1
1 1 15.208 1
1 1 15.292 1
1 1 15.375 1
1 1 15.458 1
1 1 15.542 1
1 1 15.625 1
1 1 15.708 1
1 1 15.792 1
